Kinetics/Time

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001886
Software Version:,,,"3.0,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,690_time
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\Documents and Settings\DKN\My Documents\scott\interphenazine_clean\2019_11_13_PYO_ox_PCN_red_3.dux
Date Acquired:,,,"November 13, 2019 5:32 PM"

Analytical Wavelength:,,,690.0 nm
Bkg Wavelength:,,,250.0 nm
Bkg Correction:,,,No
Number of Samples:,,,1
Sample Assignment:,,,S
Interval Time:,,,1.5 sec
Total Time:,,,90.0 sec
Factor:,,,1.0000
Units:,,,mg/ml
Temperature:,,,N/A
Delta Abs:,,,No
Curve Offset:,,,None
Read Average Time:,,,0.50 sec

RATE DATA
,,Sample 1
Initial Time,,0.00
Final Time,,90.00
Factor,,1.0000
Rate dAbs/Min,,0.0185
Corr Coeff,,0.0575
Variance,,0.020778
Result unit/min,,0.0185

ANALYTICAL ABSORBANCES
Time,,Sample 1
0.00,,0.4333
1.50,,0.4333
3.00,,0.4333
4.50,,0.4333
6.00,,0.4341
7.50,,0.4341
9.00,,0.4333
10.50,,-0.3000
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.0545
16.50,,0.0658
18.00,,0.0763
19.50,,0.0864
21.00,,0.0956
22.50,,0.1054
24.00,,0.1139
25.50,,0.1234
27.00,,0.1319
28.50,,0.1414
30.00,,0.1498
31.50,,0.1589
33.00,,0.1651
34.50,,0.1719
36.00,,0.1771
37.50,,0.1806
39.00,,0.1832
40.50,,0.1863
42.00,,0.1890
43.50,,0.1907
45.00,,0.1934
46.50,,0.1948
48.00,,0.1957
49.50,,0.1961
51.00,,0.1966
52.50,,0.1970
54.00,,0.1970
55.50,,0.1975
57.00,,0.1975
58.50,,0.1984
60.00,,0.1989
61.50,,0.1993
63.00,,0.2002
64.50,,0.2007
66.00,,0.2011
67.50,,0.2021
69.00,,0.2025
70.50,,0.2034
72.00,,0.2034
73.50,,0.2044
75.00,,0.2048
76.50,,0.2057
78.00,,0.2057
79.50,,0.2062
81.00,,0.2062
82.50,,0.2057
84.00,,0.2062
85.50,,0.2062
87.00,,0.2062
88.50,,0.2062
90.00,,0.2067

NET ABSORBANCES
Time,,Sample 1
0.00,,0.4333
1.50,,0.4333
3.00,,0.4333
4.50,,0.4333
6.00,,0.4341
7.50,,0.4341
9.00,,0.4333
10.50,,-0.3000
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.0545
16.50,,0.0658
18.00,,0.0763
19.50,,0.0864
21.00,,0.0956
22.50,,0.1054
24.00,,0.1139
25.50,,0.1234
27.00,,0.1319
28.50,,0.1414
30.00,,0.1498
31.50,,0.1589
33.00,,0.1651
34.50,,0.1719
36.00,,0.1771
37.50,,0.1806
39.00,,0.1832
40.50,,0.1863
42.00,,0.1890
43.50,,0.1907
45.00,,0.1934
46.50,,0.1948
48.00,,0.1957
49.50,,0.1961
51.00,,0.1966
52.50,,0.1970
54.00,,0.1970
55.50,,0.1975
57.00,,0.1975
58.50,,0.1984
60.00,,0.1989
61.50,,0.1993
63.00,,0.2002
64.50,,0.2007
66.00,,0.2011
67.50,,0.2021
69.00,,0.2025
70.50,,0.2034
72.00,,0.2034
73.50,,0.2044
75.00,,0.2048
76.50,,0.2057
78.00,,0.2057
79.50,,0.2062
81.00,,0.2062
82.50,,0.2057
84.00,,0.2062
85.50,,0.2062
87.00,,0.2062
88.50,,0.2062
90.00,,0.2067

CORRECTED ABSORBANCES
Time,,Sample 1
0.00,,0.4333
1.50,,0.4333
3.00,,0.4333
4.50,,0.4333
6.00,,0.4341
7.50,,0.4341
9.00,,0.4333
10.50,,-0.3000
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.0545
16.50,,0.0658
18.00,,0.0763
19.50,,0.0864
21.00,,0.0956
22.50,,0.1054
24.00,,0.1139
25.50,,0.1234
27.00,,0.1319
28.50,,0.1414
30.00,,0.1498
31.50,,0.1589
33.00,,0.1651
34.50,,0.1719
36.00,,0.1771
37.50,,0.1806
39.00,,0.1832
40.50,,0.1863
42.00,,0.1890
43.50,,0.1907
45.00,,0.1934
46.50,,0.1948
48.00,,0.1957
49.50,,0.1961
51.00,,0.1966
52.50,,0.1970
54.00,,0.1970
55.50,,0.1975
57.00,,0.1975
58.50,,0.1984
60.00,,0.1989
61.50,,0.1993
63.00,,0.2002
64.50,,0.2007
66.00,,0.2011
67.50,,0.2021
69.00,,0.2025
70.50,,0.2034
72.00,,0.2034
73.50,,0.2044
75.00,,0.2048
76.50,,0.2057
78.00,,0.2057
79.50,,0.2062
81.00,,0.2062
82.50,,0.2057
84.00,,0.2062
85.50,,0.2062
87.00,,0.2062
88.50,,0.2062
90.00,,0.2067
