Kinetics/Time

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001886
Software Version:,,,"3.0,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,690_time
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\Documents and Settings\DKN\My Documents\scott\interphenazine_clean\2019_11_13_PYO_ox_PBS_red_2.dux
Date Acquired:,,,"November 13, 2019 4:47 PM"

Analytical Wavelength:,,,690.0 nm
Bkg Wavelength:,,,250.0 nm
Bkg Correction:,,,No
Number of Samples:,,,1
Sample Assignment:,,,S
Interval Time:,,,1.5 sec
Total Time:,,,90.0 sec
Factor:,,,1.0000
Units:,,,mg/ml
Temperature:,,,N/A
Delta Abs:,,,No
Curve Offset:,,,None
Read Average Time:,,,0.50 sec

RATE DATA
,,Sample 1
Initial Time,,0.00
Final Time,,90.00
Factor,,1.0000
Rate dAbs/Min,,-0.0520
Corr Coeff,,-0.1867
Variance,,0.015001
Result unit/min,,0.0520

ANALYTICAL ABSORBANCES
Time,,Sample 1
0.00,,0.4388
1.50,,0.4380
3.00,,0.4388
4.50,,0.4380
6.00,,0.4372
7.50,,0.4380
9.00,,0.4388
10.50,,0.4380
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.2085
16.50,,0.2156
18.00,,0.2175
19.50,,0.2179
21.00,,0.2184
22.50,,0.2189
24.00,,0.2184
25.50,,0.2189
27.00,,0.2184
28.50,,0.2179
30.00,,0.2179
31.50,,0.2179
33.00,,0.2179
34.50,,0.2179
36.00,,0.2179
37.50,,0.2175
39.00,,0.2175
40.50,,0.2179
42.00,,0.2175
43.50,,0.2170
45.00,,0.2175
46.50,,0.2170
48.00,,0.2170
49.50,,0.2170
51.00,,0.2175
52.50,,0.2179
54.00,,0.2170
55.50,,0.2175
57.00,,0.2170
58.50,,0.2175
60.00,,0.2179
61.50,,0.2175
63.00,,0.2175
64.50,,0.2175
66.00,,0.2170
67.50,,0.2179
69.00,,0.2175
70.50,,0.2175
72.00,,0.2175
73.50,,0.2175
75.00,,0.2170
76.50,,0.2175
78.00,,0.2170
79.50,,0.2165
81.00,,0.2170
82.50,,0.2170
84.00,,0.2170
85.50,,0.2170
87.00,,0.2175
88.50,,0.2170
90.00,,0.2165

NET ABSORBANCES
Time,,Sample 1
0.00,,0.4388
1.50,,0.4380
3.00,,0.4388
4.50,,0.4380
6.00,,0.4372
7.50,,0.4380
9.00,,0.4388
10.50,,0.4380
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.2085
16.50,,0.2156
18.00,,0.2175
19.50,,0.2179
21.00,,0.2184
22.50,,0.2189
24.00,,0.2184
25.50,,0.2189
27.00,,0.2184
28.50,,0.2179
30.00,,0.2179
31.50,,0.2179
33.00,,0.2179
34.50,,0.2179
36.00,,0.2179
37.50,,0.2175
39.00,,0.2175
40.50,,0.2179
42.00,,0.2175
43.50,,0.2170
45.00,,0.2175
46.50,,0.2170
48.00,,0.2170
49.50,,0.2170
51.00,,0.2175
52.50,,0.2179
54.00,,0.2170
55.50,,0.2175
57.00,,0.2170
58.50,,0.2175
60.00,,0.2179
61.50,,0.2175
63.00,,0.2175
64.50,,0.2175
66.00,,0.2170
67.50,,0.2179
69.00,,0.2175
70.50,,0.2175
72.00,,0.2175
73.50,,0.2175
75.00,,0.2170
76.50,,0.2175
78.00,,0.2170
79.50,,0.2165
81.00,,0.2170
82.50,,0.2170
84.00,,0.2170
85.50,,0.2170
87.00,,0.2175
88.50,,0.2170
90.00,,0.2165

CORRECTED ABSORBANCES
Time,,Sample 1
0.00,,0.4388
1.50,,0.4380
3.00,,0.4388
4.50,,0.4380
6.00,,0.4372
7.50,,0.4380
9.00,,0.4388
10.50,,0.4380
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.2085
16.50,,0.2156
18.00,,0.2175
19.50,,0.2179
21.00,,0.2184
22.50,,0.2189
24.00,,0.2184
25.50,,0.2189
27.00,,0.2184
28.50,,0.2179
30.00,,0.2179
31.50,,0.2179
33.00,,0.2179
34.50,,0.2179
36.00,,0.2179
37.50,,0.2175
39.00,,0.2175
40.50,,0.2179
42.00,,0.2175
43.50,,0.2170
45.00,,0.2175
46.50,,0.2170
48.00,,0.2170
49.50,,0.2170
51.00,,0.2175
52.50,,0.2179
54.00,,0.2170
55.50,,0.2175
57.00,,0.2170
58.50,,0.2175
60.00,,0.2179
61.50,,0.2175
63.00,,0.2175
64.50,,0.2175
66.00,,0.2170
67.50,,0.2179
69.00,,0.2175
70.50,,0.2175
72.00,,0.2175
73.50,,0.2175
75.00,,0.2170
76.50,,0.2175
78.00,,0.2170
79.50,,0.2165
81.00,,0.2170
82.50,,0.2170
84.00,,0.2170
85.50,,0.2170
87.00,,0.2175
88.50,,0.2170
90.00,,0.2165
