Kinetics/Time

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001886
Software Version:,,,"3.0,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,690_time
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\Documents and Settings\DKN\My Documents\scott\interphenazine_clean\2019_11_13_PBS_ox_PYO_red_3.dux
Date Acquired:,,,"November 13, 2019 5:00 PM"

Analytical Wavelength:,,,690.0 nm
Bkg Wavelength:,,,250.0 nm
Bkg Correction:,,,No
Number of Samples:,,,1
Sample Assignment:,,,S
Interval Time:,,,1.5 sec
Total Time:,,,90.0 sec
Factor:,,,1.0000
Units:,,,mg/ml
Temperature:,,,N/A
Delta Abs:,,,No
Curve Offset:,,,None
Read Average Time:,,,0.50 sec

RATE DATA
,,Sample 1
Initial Time,,0.00
Final Time,,90.00
Factor,,1.0000
Rate dAbs/Min,,0.1473
Corr Coeff,,0.6000
Variance,,0.007728
Result unit/min,,0.1473

ANALYTICAL ABSORBANCES
Time,,Sample 1
0.00,,-0.0003
1.50,,-0.0003
3.00,,-0.0003
4.50,,-0.0003
6.00,,-0.0003
7.50,,-0.0003
9.00,,-0.0003
10.50,,-0.3000
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.0960
16.50,,0.1025
18.00,,0.1040
19.50,,0.1136
21.00,,0.1185
22.50,,0.1257
24.00,,0.1327
25.50,,0.1378
27.00,,0.1430
28.50,,0.1478
30.00,,0.1543
31.50,,0.1551
33.00,,0.1580
34.50,,0.1605
36.00,,0.1622
37.50,,0.1626
39.00,,0.1630
40.50,,0.1626
42.00,,0.1630
43.50,,0.1635
45.00,,0.1630
46.50,,0.1635
48.00,,0.1643
49.50,,0.1647
51.00,,0.1651
52.50,,0.1660
54.00,,0.1656
55.50,,0.1656
57.00,,0.1651
58.50,,0.1656
60.00,,0.1660
61.50,,0.1660
63.00,,0.1660
64.50,,0.1656
66.00,,0.1651
67.50,,0.1647
69.00,,0.1647
70.50,,0.1651
72.00,,0.1651
73.50,,0.1656
75.00,,0.1656
76.50,,0.1651
78.00,,0.1651
79.50,,0.1647
81.00,,0.1651
82.50,,0.1651
84.00,,0.1651
85.50,,0.1651
87.00,,0.1660
88.50,,0.1668
90.00,,0.1673

NET ABSORBANCES
Time,,Sample 1
0.00,,-0.0003
1.50,,-0.0003
3.00,,-0.0003
4.50,,-0.0003
6.00,,-0.0003
7.50,,-0.0003
9.00,,-0.0003
10.50,,-0.3000
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.0960
16.50,,0.1025
18.00,,0.1040
19.50,,0.1136
21.00,,0.1185
22.50,,0.1257
24.00,,0.1327
25.50,,0.1378
27.00,,0.1430
28.50,,0.1478
30.00,,0.1543
31.50,,0.1551
33.00,,0.1580
34.50,,0.1605
36.00,,0.1622
37.50,,0.1626
39.00,,0.1630
40.50,,0.1626
42.00,,0.1630
43.50,,0.1635
45.00,,0.1630
46.50,,0.1635
48.00,,0.1643
49.50,,0.1647
51.00,,0.1651
52.50,,0.1660
54.00,,0.1656
55.50,,0.1656
57.00,,0.1651
58.50,,0.1656
60.00,,0.1660
61.50,,0.1660
63.00,,0.1660
64.50,,0.1656
66.00,,0.1651
67.50,,0.1647
69.00,,0.1647
70.50,,0.1651
72.00,,0.1651
73.50,,0.1656
75.00,,0.1656
76.50,,0.1651
78.00,,0.1651
79.50,,0.1647
81.00,,0.1651
82.50,,0.1651
84.00,,0.1651
85.50,,0.1651
87.00,,0.1660
88.50,,0.1668
90.00,,0.1673

CORRECTED ABSORBANCES
Time,,Sample 1
0.00,,-0.0003
1.50,,-0.0003
3.00,,-0.0003
4.50,,-0.0003
6.00,,-0.0003
7.50,,-0.0003
9.00,,-0.0003
10.50,,-0.3000
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.0960
16.50,,0.1025
18.00,,0.1040
19.50,,0.1136
21.00,,0.1185
22.50,,0.1257
24.00,,0.1327
25.50,,0.1378
27.00,,0.1430
28.50,,0.1478
30.00,,0.1543
31.50,,0.1551
33.00,,0.1580
34.50,,0.1605
36.00,,0.1622
37.50,,0.1626
39.00,,0.1630
40.50,,0.1626
42.00,,0.1630
43.50,,0.1635
45.00,,0.1630
46.50,,0.1635
48.00,,0.1643
49.50,,0.1647
51.00,,0.1651
52.50,,0.1660
54.00,,0.1656
55.50,,0.1656
57.00,,0.1651
58.50,,0.1656
60.00,,0.1660
61.50,,0.1660
63.00,,0.1660
64.50,,0.1656
66.00,,0.1651
67.50,,0.1647
69.00,,0.1647
70.50,,0.1651
72.00,,0.1651
73.50,,0.1656
75.00,,0.1656
76.50,,0.1651
78.00,,0.1651
79.50,,0.1647
81.00,,0.1651
82.50,,0.1651
84.00,,0.1651
85.50,,0.1651
87.00,,0.1660
88.50,,0.1668
90.00,,0.1673
