Kinetics/Time

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001886
Software Version:,,,"3.0,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,690_time
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\Documents and Settings\DKN\My Documents\scott\interphenazine_clean\2019_11_13_PYO_ox_PCA_red_3.dux
Date Acquired:,,,"November 13, 2019 5:19 PM"

Analytical Wavelength:,,,690.0 nm
Bkg Wavelength:,,,250.0 nm
Bkg Correction:,,,No
Number of Samples:,,,1
Sample Assignment:,,,S
Interval Time:,,,1.5 sec
Total Time:,,,90.0 sec
Factor:,,,1.0000
Units:,,,mg/ml
Temperature:,,,N/A
Delta Abs:,,,No
Curve Offset:,,,None
Read Average Time:,,,0.50 sec

RATE DATA
,,Sample 1
Initial Time,,0.00
Final Time,,90.00
Factor,,1.0000
Rate dAbs/Min,,0.0191
Corr Coeff,,0.0587
Variance,,0.021020
Result unit/min,,0.0191

ANALYTICAL ABSORBANCES
Time,,Sample 1
0.00,,0.4365
1.50,,0.4365
3.00,,0.4365
4.50,,0.4372
6.00,,0.4365
7.50,,0.4372
9.00,,0.4372
10.50,,-0.3000
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.0539
16.50,,0.0681
18.00,,0.0784
19.50,,0.0864
21.00,,0.0956
22.50,,0.1065
24.00,,0.1166
25.50,,0.1261
27.00,,0.1346
28.50,,0.1434
30.00,,0.1506
31.50,,0.1580
33.00,,0.1656
34.50,,0.1715
36.00,,0.1780
37.50,,0.1832
39.00,,0.1885
40.50,,0.1925
42.00,,0.1961
43.50,,0.1989
45.00,,0.2007
46.50,,0.2021
48.00,,0.2034
49.50,,0.2039
51.00,,0.2044
52.50,,0.2053
54.00,,0.2057
55.50,,0.2062
57.00,,0.2067
58.50,,0.2062
60.00,,0.2062
61.50,,0.2067
63.00,,0.2067
64.50,,0.2071
66.00,,0.2076
67.50,,0.2081
69.00,,0.2076
70.50,,0.2076
72.00,,0.2071
73.50,,0.2071
75.00,,0.2067
76.50,,0.2062
78.00,,0.2057
79.50,,0.2053
81.00,,0.2053
82.50,,0.2057
84.00,,0.2057
85.50,,0.2057
87.00,,0.2067
88.50,,0.2067
90.00,,0.2067

NET ABSORBANCES
Time,,Sample 1
0.00,,0.4365
1.50,,0.4365
3.00,,0.4365
4.50,,0.4372
6.00,,0.4365
7.50,,0.4372
9.00,,0.4372
10.50,,-0.3000
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.0539
16.50,,0.0681
18.00,,0.0784
19.50,,0.0864
21.00,,0.0956
22.50,,0.1065
24.00,,0.1166
25.50,,0.1261
27.00,,0.1346
28.50,,0.1434
30.00,,0.1506
31.50,,0.1580
33.00,,0.1656
34.50,,0.1715
36.00,,0.1780
37.50,,0.1832
39.00,,0.1885
40.50,,0.1925
42.00,,0.1961
43.50,,0.1989
45.00,,0.2007
46.50,,0.2021
48.00,,0.2034
49.50,,0.2039
51.00,,0.2044
52.50,,0.2053
54.00,,0.2057
55.50,,0.2062
57.00,,0.2067
58.50,,0.2062
60.00,,0.2062
61.50,,0.2067
63.00,,0.2067
64.50,,0.2071
66.00,,0.2076
67.50,,0.2081
69.00,,0.2076
70.50,,0.2076
72.00,,0.2071
73.50,,0.2071
75.00,,0.2067
76.50,,0.2062
78.00,,0.2057
79.50,,0.2053
81.00,,0.2053
82.50,,0.2057
84.00,,0.2057
85.50,,0.2057
87.00,,0.2067
88.50,,0.2067
90.00,,0.2067

CORRECTED ABSORBANCES
Time,,Sample 1
0.00,,0.4365
1.50,,0.4365
3.00,,0.4365
4.50,,0.4372
6.00,,0.4365
7.50,,0.4372
9.00,,0.4372
10.50,,-0.3000
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.0539
16.50,,0.0681
18.00,,0.0784
19.50,,0.0864
21.00,,0.0956
22.50,,0.1065
24.00,,0.1166
25.50,,0.1261
27.00,,0.1346
28.50,,0.1434
30.00,,0.1506
31.50,,0.1580
33.00,,0.1656
34.50,,0.1715
36.00,,0.1780
37.50,,0.1832
39.00,,0.1885
40.50,,0.1925
42.00,,0.1961
43.50,,0.1989
45.00,,0.2007
46.50,,0.2021
48.00,,0.2034
49.50,,0.2039
51.00,,0.2044
52.50,,0.2053
54.00,,0.2057
55.50,,0.2062
57.00,,0.2067
58.50,,0.2062
60.00,,0.2062
61.50,,0.2067
63.00,,0.2067
64.50,,0.2071
66.00,,0.2076
67.50,,0.2081
69.00,,0.2076
70.50,,0.2076
72.00,,0.2071
73.50,,0.2071
75.00,,0.2067
76.50,,0.2062
78.00,,0.2057
79.50,,0.2053
81.00,,0.2053
82.50,,0.2057
84.00,,0.2057
85.50,,0.2057
87.00,,0.2067
88.50,,0.2067
90.00,,0.2067
