Kinetics/Time

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001886
Software Version:,,,"3.0,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,690_time
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\Documents and Settings\DKN\My Documents\scott\interphenazine_clean\2019_11_13_PYO_ox_PCN_red_2.dux
Date Acquired:,,,"November 13, 2019 5:25 PM"

Analytical Wavelength:,,,690.0 nm
Bkg Wavelength:,,,250.0 nm
Bkg Correction:,,,No
Number of Samples:,,,1
Sample Assignment:,,,S
Interval Time:,,,1.5 sec
Total Time:,,,90.0 sec
Factor:,,,1.0000
Units:,,,mg/ml
Temperature:,,,N/A
Delta Abs:,,,No
Curve Offset:,,,None
Read Average Time:,,,0.50 sec

RATE DATA
,,Sample 1
Initial Time,,0.00
Final Time,,90.00
Factor,,1.0000
Rate dAbs/Min,,0.0226
Corr Coeff,,0.0689
Variance,,0.021551
Result unit/min,,0.0226

ANALYTICAL ABSORBANCES
Time,,Sample 1
0.00,,0.4365
1.50,,0.4372
3.00,,0.4380
4.50,,0.4365
6.00,,0.4365
7.50,,0.4365
9.00,,0.4372
10.50,,-0.3000
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.0426
16.50,,0.0513
18.00,,0.0625
19.50,,0.0715
21.00,,0.0787
22.50,,0.0857
24.00,,0.0928
25.50,,0.1003
27.00,,0.1080
28.50,,0.1158
30.00,,0.1234
31.50,,0.1300
33.00,,0.1358
34.50,,0.1422
36.00,,0.1478
37.50,,0.1535
39.00,,0.1601
40.50,,0.1677
42.00,,0.1745
43.50,,0.1810
45.00,,0.1854
46.50,,0.1894
48.00,,0.1925
49.50,,0.1948
51.00,,0.1966
52.50,,0.1979
54.00,,0.1989
55.50,,0.2002
57.00,,0.1993
58.50,,0.1984
60.00,,0.1984
61.50,,0.1984
63.00,,0.1984
64.50,,0.1984
66.00,,0.1993
67.50,,0.1993
69.00,,0.1998
70.50,,0.2007
72.00,,0.2002
73.50,,0.2007
75.00,,0.2011
76.50,,0.2021
78.00,,0.2021
79.50,,0.2025
81.00,,0.2021
82.50,,0.2021
84.00,,0.2007
85.50,,0.2007
87.00,,0.2002
88.50,,0.2002
90.00,,0.2007

NET ABSORBANCES
Time,,Sample 1
0.00,,0.4365
1.50,,0.4372
3.00,,0.4380
4.50,,0.4365
6.00,,0.4365
7.50,,0.4365
9.00,,0.4372
10.50,,-0.3000
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.0426
16.50,,0.0513
18.00,,0.0625
19.50,,0.0715
21.00,,0.0787
22.50,,0.0857
24.00,,0.0928
25.50,,0.1003
27.00,,0.1080
28.50,,0.1158
30.00,,0.1234
31.50,,0.1300
33.00,,0.1358
34.50,,0.1422
36.00,,0.1478
37.50,,0.1535
39.00,,0.1601
40.50,,0.1677
42.00,,0.1745
43.50,,0.1810
45.00,,0.1854
46.50,,0.1894
48.00,,0.1925
49.50,,0.1948
51.00,,0.1966
52.50,,0.1979
54.00,,0.1989
55.50,,0.2002
57.00,,0.1993
58.50,,0.1984
60.00,,0.1984
61.50,,0.1984
63.00,,0.1984
64.50,,0.1984
66.00,,0.1993
67.50,,0.1993
69.00,,0.1998
70.50,,0.2007
72.00,,0.2002
73.50,,0.2007
75.00,,0.2011
76.50,,0.2021
78.00,,0.2021
79.50,,0.2025
81.00,,0.2021
82.50,,0.2021
84.00,,0.2007
85.50,,0.2007
87.00,,0.2002
88.50,,0.2002
90.00,,0.2007

CORRECTED ABSORBANCES
Time,,Sample 1
0.00,,0.4365
1.50,,0.4372
3.00,,0.4380
4.50,,0.4365
6.00,,0.4365
7.50,,0.4365
9.00,,0.4372
10.50,,-0.3000
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.0426
16.50,,0.0513
18.00,,0.0625
19.50,,0.0715
21.00,,0.0787
22.50,,0.0857
24.00,,0.0928
25.50,,0.1003
27.00,,0.1080
28.50,,0.1158
30.00,,0.1234
31.50,,0.1300
33.00,,0.1358
34.50,,0.1422
36.00,,0.1478
37.50,,0.1535
39.00,,0.1601
40.50,,0.1677
42.00,,0.1745
43.50,,0.1810
45.00,,0.1854
46.50,,0.1894
48.00,,0.1925
49.50,,0.1948
51.00,,0.1966
52.50,,0.1979
54.00,,0.1989
55.50,,0.2002
57.00,,0.1993
58.50,,0.1984
60.00,,0.1984
61.50,,0.1984
63.00,,0.1984
64.50,,0.1984
66.00,,0.1993
67.50,,0.1993
69.00,,0.1998
70.50,,0.2007
72.00,,0.2002
73.50,,0.2007
75.00,,0.2011
76.50,,0.2021
78.00,,0.2021
79.50,,0.2025
81.00,,0.2021
82.50,,0.2021
84.00,,0.2007
85.50,,0.2007
87.00,,0.2002
88.50,,0.2002
90.00,,0.2007
