Kinetics/Time

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001886
Software Version:,,,"3.0,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,690_time
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\Documents and Settings\DKN\My Documents\scott\interphenazine_clean\2019_11_13_PBS_ox_PYO_red_2.dux
Date Acquired:,,,"November 13, 2019 4:57 PM"

Analytical Wavelength:,,,690.0 nm
Bkg Wavelength:,,,250.0 nm
Bkg Correction:,,,No
Number of Samples:,,,1
Sample Assignment:,,,S
Interval Time:,,,1.5 sec
Total Time:,,,90.0 sec
Factor:,,,1.0000
Units:,,,mg/ml
Temperature:,,,N/A
Delta Abs:,,,No
Curve Offset:,,,None
Read Average Time:,,,0.50 sec

RATE DATA
,,Sample 1
Initial Time,,0.00
Final Time,,90.00
Factor,,1.0000
Rate dAbs/Min,,0.1537
Corr Coeff,,0.6115
Variance,,0.007920
Result unit/min,,0.1537

ANALYTICAL ABSORBANCES
Time,,Sample 1
0.00,,-0.0003
1.50,,-0.0003
3.00,,-0.0003
4.50,,-0.0003
6.00,,-0.0006
7.50,,-0.0003
9.00,,-0.0006
10.50,,-0.3000
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.0913
16.50,,0.1018
18.00,,0.1106
19.50,,0.1185
21.00,,0.1249
22.50,,0.1315
24.00,,0.1370
25.50,,0.1426
27.00,,0.1474
28.50,,0.1523
30.00,,0.1564
31.50,,0.1605
33.00,,0.1643
34.50,,0.1673
36.00,,0.1685
37.50,,0.1690
39.00,,0.1698
40.50,,0.1698
42.00,,0.1707
43.50,,0.1707
45.00,,0.1719
46.50,,0.1728
48.00,,0.1741
49.50,,0.1749
51.00,,0.1754
52.50,,0.1749
54.00,,0.1745
55.50,,0.1741
57.00,,0.1732
58.50,,0.1719
60.00,,0.1715
61.50,,0.1715
63.00,,0.1728
64.50,,0.1745
66.00,,0.1749
67.50,,0.1749
69.00,,0.1762
70.50,,0.1762
72.00,,0.1762
73.50,,0.1758
75.00,,0.1749
76.50,,0.1749
78.00,,0.1745
79.50,,0.1737
81.00,,0.1737
82.50,,0.1728
84.00,,0.1728
85.50,,0.1715
87.00,,0.1719
88.50,,0.1724
90.00,,0.1728

NET ABSORBANCES
Time,,Sample 1
0.00,,-0.0003
1.50,,-0.0003
3.00,,-0.0003
4.50,,-0.0003
6.00,,-0.0006
7.50,,-0.0003
9.00,,-0.0006
10.50,,-0.3000
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.0913
16.50,,0.1018
18.00,,0.1106
19.50,,0.1185
21.00,,0.1249
22.50,,0.1315
24.00,,0.1370
25.50,,0.1426
27.00,,0.1474
28.50,,0.1523
30.00,,0.1564
31.50,,0.1605
33.00,,0.1643
34.50,,0.1673
36.00,,0.1685
37.50,,0.1690
39.00,,0.1698
40.50,,0.1698
42.00,,0.1707
43.50,,0.1707
45.00,,0.1719
46.50,,0.1728
48.00,,0.1741
49.50,,0.1749
51.00,,0.1754
52.50,,0.1749
54.00,,0.1745
55.50,,0.1741
57.00,,0.1732
58.50,,0.1719
60.00,,0.1715
61.50,,0.1715
63.00,,0.1728
64.50,,0.1745
66.00,,0.1749
67.50,,0.1749
69.00,,0.1762
70.50,,0.1762
72.00,,0.1762
73.50,,0.1758
75.00,,0.1749
76.50,,0.1749
78.00,,0.1745
79.50,,0.1737
81.00,,0.1737
82.50,,0.1728
84.00,,0.1728
85.50,,0.1715
87.00,,0.1719
88.50,,0.1724
90.00,,0.1728

CORRECTED ABSORBANCES
Time,,Sample 1
0.00,,-0.0003
1.50,,-0.0003
3.00,,-0.0003
4.50,,-0.0003
6.00,,-0.0006
7.50,,-0.0003
9.00,,-0.0006
10.50,,-0.3000
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.0913
16.50,,0.1018
18.00,,0.1106
19.50,,0.1185
21.00,,0.1249
22.50,,0.1315
24.00,,0.1370
25.50,,0.1426
27.00,,0.1474
28.50,,0.1523
30.00,,0.1564
31.50,,0.1605
33.00,,0.1643
34.50,,0.1673
36.00,,0.1685
37.50,,0.1690
39.00,,0.1698
40.50,,0.1698
42.00,,0.1707
43.50,,0.1707
45.00,,0.1719
46.50,,0.1728
48.00,,0.1741
49.50,,0.1749
51.00,,0.1754
52.50,,0.1749
54.00,,0.1745
55.50,,0.1741
57.00,,0.1732
58.50,,0.1719
60.00,,0.1715
61.50,,0.1715
63.00,,0.1728
64.50,,0.1745
66.00,,0.1749
67.50,,0.1749
69.00,,0.1762
70.50,,0.1762
72.00,,0.1762
73.50,,0.1758
75.00,,0.1749
76.50,,0.1749
78.00,,0.1745
79.50,,0.1737
81.00,,0.1737
82.50,,0.1728
84.00,,0.1728
85.50,,0.1715
87.00,,0.1719
88.50,,0.1724
90.00,,0.1728
